@relation portrait_noG-weka.filters.unsupervised.instance.Resample-S1-Z60.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z50.0-no-replacement

@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute TP numeric

@data
0.437,-0.148,-0.029,5
0.025,-0.12,0.147,5
0.18,0.042,0.018,5
-0.064,-0.077,-0.019,5
0.225,0.111,0.04,5
-0.508,-0.3,0.007,5
0.331,0.082,-0.409,5
0.342,-0.904,1.864,5
0.027,0.403,-0.014,5
-0.314,0.295,-0.018,5
-0.161,-0.079,0.032,5
-0.153,0.225,-0.032,5
-0.224,-0.057,-0.069,5
-0.33,0.001,0.146,5
-1.821,-1.618,0.64,5
-0.056,0.065,0.738,5
-0.348,-0.244,0.002,5
0.061,-1.07,1.84,5
0.088,-0.5,0.015,5
0.373,-0.466,-0.154,5
0.012,0.036,0.005,5
0.413,0.764,-0.011,5
-0.341,-0.151,0.122,5
0.337,0.321,0.001,5
0.083,-0.231,0.067,6
0.093,0.093,0.007,5
-0.187,-0.19,-0.018,5
-1.095,-0.714,2.103,5
0.237,0.249,0.52,5
0.053,0.108,0,5
0.539,0.695,-0.067,5
-0.08,0.027,0.035,5
-0.714,0.163,-0.02,5
0.621,0.076,-0.155,5
0.383,0.503,-0.054,5
-0.141,-0.86,2.106,5
-0.403,0.271,-1.14,5
-0.103,-0.064,-0.37,5
-0.518,-0.519,-0.64,5
-0.046,-0.249,0,5
0.104,0.038,-0.039,5
-0.085,0.425,-0.019,5
0.802,-0.023,0.003,5
0.107,0.226,0.031,6
0.69,0.187,0.986,6
0.39,-0.287,0.017,5
-0.349,0.639,-0.527,5
-0.077,-0.359,0.065,5
-0.236,-0.086,-0.002,5
0.293,0.425,-1.993,5
-0.259,0.018,-0.019,5
0.12,0.148,0.127,5
0.26,-0.113,0.354,5
0.188,0.073,-0.08,6
-0.302,0.218,-0.028,5
-0.016,0.096,-0.058,5
-0.066,-0.048,-0.02,5
0.251,0.037,-0.069,4
-0.804,-0.438,-1.564,5
-0.143,-0.168,0.816,5
0.015,0.615,0.046,5
-0.185,0.31,-0.035,5
-0.343,0.163,-0.053,5
-0.301,0.008,-0.021,5
0.699,0.282,-1.154,5
-0.819,0.389,-1.906,5
-0.636,0.496,-1.265,4
0.256,-0.303,0.072,5
-0.154,-0.4,0.014,6
0.064,-0.062,0.034,5
-0.032,-0.071,0.104,6
1.171,0.403,-0.171,5
-0.178,0.118,0.08,5
-0.151,0.279,-0.032,5
0.028,0.185,0.218,5
-0.024,0.23,-0.055,5
-0.673,-0.013,-0.09,5
0.714,-0.122,0.027,5
0.593,0.324,-0.276,5
0.262,0.511,-0.004,5
-0.192,-0.158,-0.053,5
-0.15,0.418,0.029,5
-0.477,-0.61,-0.051,5
1.062,-0.124,0.863,5
0.154,0.226,0.047,5
-0.322,0.229,-0.028,5
0.009,-0.293,0.02,5
-0.241,-0.795,-0.012,5
