@relation portrait_noG-weka.filters.unsupervised.instance.Resample-S1-Z60.0-no-replacement

@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute TP numeric

@data
-0.509,0.256,-0.074,5
-0.156,-0.134,-0.058,5
-0.493,0.158,-2.802,5
0.101,-0.054,-0.059,5
-0.567,-0.817,0.179,5
-0.245,-0.32,-0.055,5
-0.036,-0.079,0.116,5
-0.002,0.004,-0.04,5
-0.012,0.523,0.037,6
-0.147,-0.033,0.017,5
-0.137,-0.321,0.139,5
0.695,0.206,-0.024,5
-0.432,0.308,-0.949,5
-0.407,-0.607,0.258,5
-0.443,-0.729,0.751,5
0.511,-0.921,0.037,5
-0.005,-0.295,-0.044,5
0.469,0.438,-1.444,5
-0.042,0.048,-0.045,5
0.728,-0.36,0.016,5
-0.339,-0.877,0.583,5
-0.398,0.143,-0.008,5
-0.075,-0.009,-0.009,5
0.274,0.041,0.018,5
0.144,0.668,-0.038,5
0.224,-0.148,-0.015,5
0.113,-0.477,1.597,5
0.433,0.146,-0.088,5
0.303,-0.332,0.032,5
0.503,-0.239,0.065,5
-0.363,0.074,0.013,5
-0.137,0.091,0.154,5
-0.825,0.064,-1.034,5
-0.786,0.022,-0.305,5
0.049,0.072,-0.082,5
0.011,0.129,-0.03,5
-0.012,-0.819,0.061,5
-0.132,-0.034,-0.039,5
-0.144,-0.283,-0.1,5
0.232,-0.251,0.05,5
-0.086,0.177,0.052,5
-0.262,0.578,-0.067,4
-0.176,0.158,0.113,5
-0.344,0.121,0.007,5
0.356,0.126,-0.04,5
0.045,0.145,0.004,5
-0.339,0.214,-0.062,4
0.792,0.504,-0.538,5
0.167,-0.423,0.331,5
-0.355,0.297,0.015,5
-0.434,-0.135,-0.024,5
0.064,-0.076,0.027,5
1.072,-0.88,1.332,5
0.359,-0.008,-0.003,5
0.306,-0.098,0.015,5
0.514,0.153,0.059,5
-0.081,0.005,-0.025,5
-0.005,-0.065,-0.009,5
-0.39,0.233,0.025,5
-0.03,0.343,0.565,5
-0.077,0.216,-1.011,4
0.019,0.058,-0.045,6
0.056,0.094,0.036,5
0.01,0.509,-0.013,5
0.48,0.41,0.481,5
-0.278,-0.458,0.152,5
0.219,0.484,-0.033,5
0.031,0.104,0.322,5
0.039,-0.025,0.024,5
0.208,0.096,-0.474,5
-0.032,0.196,0.139,6
-0.007,0.072,0.091,5
0.197,-0.183,0.159,5
-0.318,0.182,0.044,5
0.389,0.155,-0.004,5
-0.086,-0.044,0.115,4
0.471,-0.218,1.096,5
-0.209,-0.71,0.691,5
-0.099,0.539,-0.436,5
0.505,0.096,0.036,5
-0.177,-0.155,-0.055,5
-0.193,-0.359,0.031,5
-0.613,-0.265,-0.443,5
0.12,-0.021,0.002,5
0.217,0.171,0.002,5
-0.247,-0.03,0.025,5
0.378,0.07,0.007,5
0.039,0.037,-0.02,6
